cam_id;router_id
801000030;105000008
901000007;115000003
901000008;115000003
901000009;115000003
901000011;115000004
901000012;115000004
901000013;115000004
901000015;115000005
901000016;115000005
901000017;115000005
901000018;115000005
901000019;115000006
901000020;115000006
901000021;115000006
901000023;115000007
901000024;115000007
901000025;115000007
901000026;115000007
901000028;115000008
901000031;115000009
901000032;115000009
901000035;115000009
901000036;115000009
901000033;115000010
901000034;115000010
901000037;115000011
901000038;115000011
901000039;115000011
901000040;115000011
901000041;115000012
901000042;115000012
901000043;115000013
901000044;115000013
901000047;115000013
901000045;115000014
901000046;115000014
901000048;115000015
901000049;115000015
901000050;115000016
901000051;115000016
901000052;115000016
901000053;115000016
901000054;115000016
901000055;115000017
901000056;115000017
901000057;115000017
901000058;115000017
901000059;115000017
901000060;115000018
901000061;115000018
901000062;115000018
901000063;115000018
901000064;115000019
901000065;115000019
901000066;115000019
901000067;115000019
901000068;115000019
901000069;115000020
901000070;115000020
901000071;115000020
901000072;115000020
901000073;115000021
901000074;115000021
901000075;115000021
901000076;115000021
901000086;115000021
901000077;115000022
901000078;115000022
901000079;115000022
901000084;115000022
901000080;115000023
901000081;115000023
901000255;115000023
901000082;115000024
901000083;115000024
901000085;115000024
901000087;115000025
901000088;115000025
901000089;115000025
901000090;115000026
901000091;115000026
901000092;115000027
901000093;115000027
901000094;115000027
901000095;115000027
901000096;115000027
901000097;115000028
901000098;115000028
901000099;115000028
901000100;115000028
901000101;115000029
901000102;115000029
901000103;115000029
901000104;115000029
901000105;115000029
901000106;115000030
901000107;115000030
901000108;115000030
901000109;115000031
901000110;115000031
901000111;115000031
901000112;115000032
901000113;115000032
901000114;115000032
901000115;115000033
901000116;115000033
901000117;115000033
901000118;115000034
901000119;115000034
901000120;115000034
901000121;115000034
901000122;115000035
901000123;115000035
901000124;115000035
901000125;115000036
901000126;115000036
901000127;115000036
901000128;115000037
901000129;115000037
901000130;115000038
901000131;115000038
901000132;115000038
901000133;115000038
901000134;115000038
901000135;115000039
901000136;115000039
901000137;115000039
901000138;115000040
901000139;115000041
901000140;115000041
901000141;115000041
901000142;115000041
901000143;115000041
901000144;115000041
901000145;115000042
901000146;115000043
901000147;115000044
901000148;115000044
901000149;115000044
901000150;115000045
901000151;115000045
901000152;115000045
901000153;115000046
901000154;115000046
901000155;115000047
901000157;115000048
901000158;115000049
901000159;115000049
901000160;115000050
901000161;115000050
901000162;115000051
901000163;115000051
901000164;115000051
901000165;115000052
901000166;115000052
901000167;115000053
901000168;115000053
901000169;115000053
901000170;115000054
901000171;115000055
901000172;115000055
901000173;115000055
901000174;115000056
901000182;115000057
901000183;115000057
901000184;115000058
901000185;115000058
901000186;115000058
901000187;115000059
901000188;115000059
901000189;115000060
901000190;115000060
901000191;115000061
901000192;115000061
901000193;115000061
901000194;115000061
901000195;115000062
901000196;115000062
901000197;115000063
901000198;115000063
901000199;115000063
901000200;115000063
901000201;115000063
901000202;115000064
901000203;115000064
901000204;115000064
901000205;115000065
901000206;115000065
901000207;115000065
901000208;115000066
901000209;115000066
901000210;115000066
901000211;115000067
901000212;115000068
901000213;115000068
901000214;115000069
901000215;115000069
901000216;115000069
901000217;115000069
901000218;115000070
901000219;115000070
901000220;115000070
901000221;115000070
901000222;115000070
901000223;115000071
901000224;115000072
901000225;115000072
901000226;115000073
901000227;115000073
901000228;115000074
901000229;115000074
901000230;115000075
901000231;115000075
901000232;115000076
901000233;115000076
901000234;115000076
901000235;115000077
901000236;115000077
901000237;115000077
901000238;115000077
901000239;115000077
901000240;115000077
901000241;115000078
901000242;115000078
901000243;115000078
901000244;115000078
901000252;115000080
901000253;115000080
901000256;115000081
901000257;115000081
901000258;115000082
901000260;115000082
901000259;115000083
901000261;115000084
901000262;115000084
901000263;115000084
901000266;115000086
901000267;115000086
901000268;115000087
901000269;115000087
901000270;115000088
901000271;115000088
901000272;115000089
901000273;115000090
901000274;115000091
901000275;115000091
901000276;115000091
901000277;115000092
901000278;115000092
901000279;115000092
901000280;115000093
901000281;115000093
901000282;115000093
901000283;115000093
901000284;115000094
901000285;115000094
901000286;115000095
901000287;115000095
901000288;115000095
901000289;115000096
901000290;115000096
901000291;115000096
901000292;115000096
901000293;115000097
901000294;115000097
901000295;115000098
901000296;115000098
901000297;115000099
901000298;115000099
901000299;115000099
901000300;115000099
901000301;115000100
901000302;115000100
901000303;115000101
901000305;115000102
901000306;115000102
901000307;115000102
901000308;115000102
901000309;115000102
901000310;115000103
901000311;115000103
901000312;115000103
901000313;115000104
901000314;115000104
901000315;115000104
901000316;115000104
901000317;115000105
901000318;115000105
901000319;115000105
901000320;115000106
901000321;115000106
901000322;115000107
901000323;115000107
901000324;115000107
901000325;115000108
901000326;115000108
901000327;115000108
901000328;115000108
901000329;115000108
901000330;115000109
901000331;115000110
901000332;115000110
901000333;115000110
901000334;115000110
901000335;115000111
901000336;115000111
